GEO_ID,NAME,B01003_001E,B01003_001M
Geography,Geographic Area Name,Estimate!!Total,Margin of Error!!Total
1400000US39049009751,Census Tract 97.51; Franklin County; Ohio,6359,765
1400000US39049009752,Census Tract 97.52; Franklin County; Ohio,7133,794
1400000US39049009753,Census Tract 97.53; Franklin County; Ohio,5709,630
1400000US39049009754,Census Tract 97.54; Franklin County; Ohio,3391,201
1400000US39049009755,Census Tract 97.55; Franklin County; Ohio,7639,1625
1400000US39049009756,Census Tract 97.56; Franklin County; Ohio,2645,529
1400000US39049009757,Census Tract 97.57; Franklin County; Ohio,4302,489
1400000US39049009801,Census Tract 98.01; Franklin County; Ohio,3503,511
1400000US39049009802,Census Tract 98.02; Franklin County; Ohio,3657,407
1400000US39049009900,Census Tract 99; Franklin County; Ohio,1688,277
1400000US39049010000,Census Tract 100; Franklin County; Ohio,6116,935
1400000US39049010100,Census Tract 101; Franklin County; Ohio,1363,219
1400000US39049010201,Census Tract 102.01; Franklin County; Ohio,3899,940
1400000US39049010202,Census Tract 102.02; Franklin County; Ohio,6156,1548
1400000US39049010203,Census Tract 102.03; Franklin County; Ohio,3961,682
1400000US39049010204,Census Tract 102.04; Franklin County; Ohio,6587,1206
1400000US39049010300,Census Tract 103; Franklin County; Ohio,2371,533
1400000US39049010401,Census Tract 104.01; Franklin County; Ohio,2388,414
1400000US39049010402,Census Tract 104.02; Franklin County; Ohio,5660,881
1400000US39049010501,Census Tract 105.01; Franklin County; Ohio,4998,581
1400000US39049010502,Census Tract 105.02; Franklin County; Ohio,3236,481
1400000US39049010601,Census Tract 106.01; Franklin County; Ohio,5946,707
1400000US39049010602,Census Tract 106.02; Franklin County; Ohio,6156,699
1400000US39049010700,Census Tract 107; Franklin County; Ohio,1220,168
1400000US39049010900,Census Tract 109; Franklin County; Ohio,4945,696
1400000US39049980000,Census Tract 9800; Franklin County; Ohio,0,13
